Time(min),Coverage(%),MSD(um2)
79.5994,0.202179,1
79.6994,0.20237,1
79.7994,0.202656,1
79.8994,0.20299,1
79.9994,0.20318,1
80.0993,0.203514,1
80.1993,0.2038,1
80.2993,0.204039,1
80.3993,0.204325,2017
80.4993,0.204563,1
80.5993,0.204659,1
80.6993,0.204945,1
80.7993,0.205231,1
80.8993,0.205469,1
80.9993,0.20566,1
81.0993,0.205898,1
81.1993,0.206184,1
81.2993,0.206518,1
81.3993,0.206852,1
81.4993,0.207138,1
81.5993,0.207329,1
81.6993,0.207663,1
81.7993,0.207949,1
81.8993,0.208235,2017
81.9993,0.208521,1
82.0993,0.208855,1
82.1993,0.209188,1
82.2993,0.209379,1
82.3993,0.209665,1
82.4993,0.209904,1
82.5993,0.210047,1
82.6993,0.210333,1
82.7993,0.210667,1
82.8993,0.210953,1
82.9993,0.211287,1
83.0993,0.211525,1
83.1993,0.211859,1
83.2993,0.212097,1
83.3993,0.212288,1
83.4993,0.212574,1
83.5993,0.21286,1
83.6993,0.213051,1
83.7993,0.213289,1
83.8993,0.213528,1
83.9993,0.213814,1
84.0993,0.2141,1
84.1993,0.214338,1
84.2993,0.214624,1
84.3993,0.214863,1
84.4993,0.215101,1
84.5993,0.215483,1
84.6993,0.215769,1
84.7993,0.216007,1
84.8993,0.216293,1
84.9993,0.216627,1
85.0993,0.216961,1
85.1993,0.217199,1
85.2993,0.21739,1
85.3993,0.217724,1
85.4993,0.218105,2017
85.5993,0.218439,1
85.6993,0.218773,1
85.7993,0.218821,1
85.8993,0.219011,1
85.9993,0.219345,1
86.0993,0.219631,1
86.1993,0.219965,1
86.2993,0.220203,1
86.3993,0.22049,1
86.4993,0.220823,1
86.5993,0.221157,1
86.6992,0.221443,1
86.7992,0.221682,1
86.8992,0.221968,1
86.9992,0.222301,1
87.0992,0.222588,1
87.1992,0.222778,2017
87.2992,0.223112,2017
87.3992,0.223398,2017
87.4992,0.223637,1
87.5992,0.223923,1
87.6992,0.224161,1
87.7992,0.224495,1
87.8992,0.224781,1
87.9992,0.224972,1
88.0992,0.22521,1
88.1992,0.225449,1
88.2992,0.225592,1
88.3992,0.225782,1
88.4992,0.226068,1
88.5992,0.226402,1
88.6992,0.226688,1
88.7992,0.226927,1
88.8992,0.22707,1
88.9992,0.227356,4033
89.0992,0.227547,1
89.1992,0.227737,4033
89.2992,0.227976,1
89.3992,0.22831,1
89.4992,0.228643,2017
89.5992,0.22893,1
89.6992,0.229216,1
89.7992,0.229406,1
89.8992,0.229549,1
89.9992,0.229788,1
90.0992,0.230169,1
90.1992,0.23036,1
90.2992,0.230598,1
90.3992,0.230885,1
90.4992,0.231171,1
90.5992,0.231409,1
90.6992,0.231647,1
90.7992,0.231934,1
90.8992,0.232124,1
90.9992,0.23241,1
91.0992,0.232601,1
91.1992,0.232935,1
91.2992,0.233269,1
91.3992,0.233507,1
91.4992,0.233793,1
91.5992,0.234032,1
91.6992,0.23427,1
91.7992,0.234509,1
91.8992,0.234604,1
91.9992,0.234795,1
92.0992,0.234985,1
92.1992,0.235224,1
92.2992,0.235415,1
92.3992,0.235605,1
92.4992,0.235844,1
92.5992,0.23613,1
92.6992,0.23632,1
